image,v1,v2
in000579.jpg,-4.172054290771484,3.5681471824645996
in000580.jpg,-4.177321434020996,3.5772581100463867
in000581.jpg,-4.182120323181152,3.574667453765869
in000582.jpg,-4.170047283172607,3.566382884979248
in000583.jpg,-4.2192535400390625,3.624924421310425
in000584.jpg,-4.173568248748779,3.569031000137329
in000585.jpg,-4.158614158630371,3.5525643825531006
in000586.jpg,-4.037563323974609,3.3683931827545166
in000587.jpg,-3.9599874019622803,3.1623141765594482
in000588.jpg,-3.9226253032684326,3.0834147930145264
in000589.jpg,-3.859736204147339,3.0058352947235107
in000590.jpg,-3.832094669342041,2.969067096710205
in000591.jpg,-3.8508424758911133,2.985121726989746
in000592.jpg,-3.7923548221588135,2.908503293991089
in000593.jpg,-3.789893627166748,2.8927903175354004
in000594.jpg,-3.7234854698181152,2.792736053466797
in000595.jpg,-3.663360357284546,2.6159863471984863
in000596.jpg,-3.5640883445739746,2.430337905883789
in000597.jpg,-3.5374557971954346,2.39370059967041
in000598.jpg,-3.503688335418701,2.3408756256103516
in000599.jpg,-3.4732155799865723,2.304957628250122
in000600.jpg,-3.473794937133789,2.3071975708007812
in000601.jpg,-3.4038774967193604,2.2038750648498535
in000602.jpg,-3.3694546222686768,2.1407241821289062
in000603.jpg,-3.2849936485290527,2.032984495162964
in000604.jpg,-3.235997200012207,1.968630313873291
in000605.jpg,-3.1874117851257324,1.926966905593872
in000606.jpg,-3.2226154804229736,1.941674828529358
in000607.jpg,-3.1920597553253174,1.905325174331665
in000608.jpg,-3.1756551265716553,1.882553219795227
in000609.jpg,-3.094496250152588,1.7709176540374756
in000610.jpg,-2.8501265048980713,1.3955806493759155
in000611.jpg,-2.5688817501068115,0.9673934578895569
in000612.jpg,-2.5188398361206055,0.9071725606918335
in000613.jpg,-2.5214192867279053,0.888542652130127
in000614.jpg,-2.4947562217712402,0.85398268699646
in000615.jpg,-2.483586549758911,0.8275731801986694
in000616.jpg,-2.4456965923309326,0.756528377532959
in000617.jpg,-2.393336772918701,0.6723607182502747
in000618.jpg,-2.401400327682495,0.6834187507629395
in000619.jpg,-2.3592824935913086,0.6078366637229919
in000620.jpg,-2.312093734741211,0.4869256019592285
in000621.jpg,-2.241344928741455,0.3514315187931061
in000622.jpg,-2.287196397781372,0.45459261536598206
in000623.jpg,-2.198227882385254,0.19540461897850037
in000624.jpg,-2.1486399173736572,0.030051959678530693
in000625.jpg,-2.1361401081085205,-5.7196946727344766e-05
in000626.jpg,-2.084636688232422,-0.13559378683567047
in000627.jpg,-2.0971081256866455,-0.09721142053604126
